Data,Korea
2020-02-01 18:00:00,12
2020-02-02 18:00:00,15
2020-02-03 18:00:00,15
2020-02-04 18:00:00,16
2020-02-05 18:00:00,19
2020-02-06 18:00:00,23
2020-02-07 18:00:00,24
2020-02-08 18:00:00,24
2020-02-09 18:00:00,25
2020-02-10 18:00:00,27
2020-02-11 18:00:00,28
2020-02-12 18:00:00,28
2020-02-13 18:00:00,28
2020-02-14 18:00:00,28
2020-02-15 18:00:00,28
2020-02-16 18:00:00,29
2020-02-17 18:00:00,30
2020-02-18 18:00:00,31
2020-02-19 18:00:00,31
2020-02-20 18:00:00,104
2020-02-21 18:00:00,204
2020-02-22 18:00:00,433
2020-02-23 18:00:00,602
2020-02-24 18:00:00,833
2020-02-25 18:00:00,977
2020-02-26 18:00:00,1261
2020-02-27 18:00:00,1766
2020-02-28 18:00:00,2337
2020-02-29 18:00:00,3150
2020-03-01 18:00:00,3736
2020-03-02 18:00:00,4335
2020-03-03 18:00:00,5186
2020-03-04 18:00:00,5621
2020-03-05 18:00:00,6088
2020-03-06 18:00:00,6593
2020-03-07 18:00:00,7041
2020-03-08 18:00:00,7314
2020-03-09 18:00:00,7478
2020-03-10 18:00:00,7513
2020-03-11 18:00:00,7755
2020-03-12 18:00:00,7869
2020-03-13 18:00:00,7979
2020-03-14 18:00:00,8086
2020-03-15 18:00:00,8162
2020-03-16 18:00:00,8236
2020-03-17 18:00:00,8320
2020-03-18 18:00:00,8413
2020-03-19 18:00:00,8565
2020-03-20 18:00:00,8652
2020-03-21 18:00:00,8799
2020-03-22 18:00:00,8961
2020-03-23 18:00:00,8961
2020-03-24 18:00:00,9037
